model,fold,accuracy,logloss,roc_auc,brier,tp,tn,fp,fn
RandomForest,1,0.6259713701431493,0.6594300412597994,0.6063892429418295,0.2312028771301113,2711,350,1474,355
RandomForest,2,0.6668711656441718,0.6201373193503923,0.6346988031914893,0.21413221757125644,2805,456,1144,485
RandomForest,3,0.6791411042944785,0.6074035313529249,0.6490479144050378,0.208806497572045,2858,463,1120,449
RandomForest,4,0.650920245398773,0.6419614580139974,0.622037215055872,0.22327832132492786,2694,489,1213,494
RandomForest,5,0.6492842535787321,0.6382535119028451,0.6330664632073724,0.22173427682787517,2733,442,1300,415
LightGBM,1,0.631083844580777,0.6593792911822723,0.6047363700346757,0.23145418893792644,2765,321,1503,301
LightGBM,2,0.6719836400817996,0.6126588408975052,0.6328490691489361,0.21160841004394274,2927,359,1241,363
LightGBM,3,0.679959100204499,0.6008446848207273,0.651800455436228,0.20656589343976586,2983,342,1241,324
LightGBM,4,0.658282208588957,0.6247143737009965,0.6294181913078863,0.2171915971127021,2925,294,1408,263
LightGBM,5,0.6568507157464213,0.634359369635387,0.6154463424739269,0.22132123313783245,2997,215,1527,151
XGBoost,1,0.6241308793456033,0.7157981319548966,0.604015747130383,0.2465092214255312,2510,542,1282,556
XGBoost,2,0.652760736196319,0.6382914211684672,0.6277054521276596,0.2213135373669383,2634,558,1042,656
XGBoost,3,0.6734151329243354,0.6190932960538847,0.6433095936737879,0.21290471179555953,2797,496,1087,510
XGBoost,4,0.6505112474437628,0.6396571072320605,0.6317314156936926,0.22188773661987443,2726,455,1247,462
XGBoost,5,0.6541922290388548,0.6427625651598469,0.6257751901230821,0.22304383838834732,2770,429,1313,378
CatBoost,1,0.6325153374233129,0.6511099282710351,0.6033155984996739,0.22904720564496406,2937,156,1668,129
CatBoost,2,0.6785276073619632,0.6071678936412302,0.6399060600303951,0.20916032349748126,3041,277,1323,249
CatBoost,3,0.6844580777096114,0.601655200582901,0.64579938303501,0.20677650289099708,3054,293,1290,253
CatBoost,4,0.66359918200409,0.6225699304431651,0.6324369108893957,0.2162797492467709,2976,269,1433,212
CatBoost,5,0.660122699386503,0.6303538375597034,0.6261673440538487,0.21964495069442727,2997,231,1511,151
Stacking,1,0.630879345603272,0.6468521072401259,0.6068234048305696,0.22753449843348297,2972,113,1711,94
Stacking,2,0.6746421267893661,0.6079930824359161,0.642661094224924,0.20958437197624621,2951,348,1252,339
Stacking,3,0.689161554192229,0.5979994777377459,0.6565758309342479,0.20492662389590607,3024,346,1237,283
Stacking,4,0.6586912065439673,0.6214827325949858,0.6363144621354757,0.2157753513711131,2860,361,1341,328
Stacking,5,0.6611451942740286,0.6255105957263096,0.6334645436681319,0.21754176908054465,2911,322,1420,237
CatBoost (Native),1,0.658282208588957,0.6198351725783073,0.6801660973209279,0.21446837512367337,2617,602,1222,449
CatBoost (Native),2,0.6893660531697342,0.5818138327210229,0.7077391717325228,0.1987003196066235,2701,670,930,589
CatBoost (Native),3,0.6922290388548057,0.5767003980212764,0.7085168026397803,0.19653820419395718,2760,625,958,547
CatBoost (Native),4,0.6666666666666666,0.6058048770755049,0.6866217248288602,0.20916153486821576,2613,647,1055,575
CatBoost (Native),5,0.6468302658486708,0.642215268687492,0.6619546498277842,0.21999623552766287,2619,544,1198,529
